2026-04-08-18:58 | apps-script-fix-draft | ea985d5
2026-04-09-11:56 | folder-cleanup-and-骨子v3-restructure | 4e8e43f
2026-04-09-12:22 | master-data-and-slide-updates | 411a90e
2026-04-09-14:54 | slide-updates-23slides-matsukoko-fix | 4801616
2026-04-09-14:59 | naming-fix-and-memory-update | a22412b
2026-04-09-15:54 | feedback-fixes-batch1 | 1adb07b
2026-04-09-16:20 | 情報まとめ統合版-修正バッチ2 | 9bf5656
2026-04-09-18:39 | A6-A7-analysis-complete | a9131ef
2026-04-09-19:11 | A6-pattern-analysis-and-A5-todo | 2fbe1f4
2026-04-10-19:27 | A1-KPI-壁打ち完了 | 65bee00
2026-04-10-20:33 | A5-フォロリポ分析完了・TODO更新 | a67b792
2026-04-13-11:58 | ページ番号追加・公開ファイル自動同期 | 73f75e6
2026-04-13-18:26 | 笹木FBインプット・A9〜A11分析完了・単価方針確定 | 4df3c8a
2026-04-13-18:29 | セッション終了・A9〜A11分析完了・単価方針確定 | 6391ac7
2026-04-14-11:22 | 値上げ頭出し資料HTML_執行役員向け作成完了 | 3789cb2
2026-04-14-11:51 | A9-A11統合版HTML本体統合 | a13a3fc
