イベント日,ビデオID,ビデオキャプション,経過分数,同時視聴ユーザー数,チャット数,いいネ数,カート追加クリック数,商品クリック数,ハイライト商品クリック数,シェア数
2026-04-14,5nMzON,毛穴悩みと向き合う。    ビオレの洗顔シリーズで叶える、理想の肌づくり（マツキヨココカラLIVE）,1,408,0,1,0,0,0,0
,,,2,221,0,0,0,0,0,0
,,,3,213,2,10,0,0,0,0
,,,4,214,0,22,0,0,0,0
,,,5,235,1,24,0,0,0,0
,,,6,240,0,39,0,0,0,0
,,,7,229,4,4,0,0,0,0
,,,8,252,1,51,0,0,0,0
,,,9,253,3,88,0,0,0,0
,,,10,253,3,65,0,1,1,0
,,,11,254,2,75,0,5,2,0
,,,12,260,2,139,0,2,2,0
,,,13,274,3,82,0,0,0,0
,,,14,276,2,52,0,0,0,0
,,,15,284,2,103,0,0,0,0
,,,16,288,2,187,0,2,2,0
,,,17,303,1,119,0,1,1,0
,,,18,308,7,83,0,0,0,0
,,,19,298,3,104,0,0,0,0
,,,20,312,5,199,0,2,2,0
,,,21,300,1,115,0,1,1,0
,,,22,323,4,98,0,1,1,0
,,,23,339,3,93,0,2,2,0
,,,24,331,1,113,0,3,0,0
,,,25,341,3,139,0,2,1,0
,,,26,353,3,133,0,0,0,0
,,,27,351,0,133,0,3,3,0
,,,28,355,3,12,0,0,0,0
,,,29,337,5,9,0,3,3,0
,,,30,345,3,238,0,1,1,0
,,,31,332,1,291,0,1,1,0
,,,32,330,0,85,0,0,0,0
,,,33,339,3,196,0,2,2,0
,,,34,348,4,140,0,1,1,0
,,,35,340,4,114,0,1,0,0
,,,36,351,4,216,0,0,0,0
,,,37,350,2,81,0,0,0,0
,,,38,360,1,52,0,2,1,0
,,,39,357,1,168,0,2,1,0
,,,40,349,5,173,0,0,0,0
,,,41,348,1,247,0,1,1,0
,,,42,345,3,159,0,0,0,0
,,,43,337,3,156,0,0,0,0
,,,44,340,0,120,0,0,0,0
,,,45,358,7,167,0,3,0,0
,,,46,345,0,287,0,2,2,0
,,,47,354,2,255,0,0,0,0
,,,48,318,1,208,0,2,1,0
,,,49,326,3,319,0,2,2,0
,,,50,350,2,286,0,1,1,0
,,,51,327,0,68,0,1,1,0
,,,52,350,5,84,0,1,1,0
,,,53,326,2,109,0,1,0,0
,,,54,327,0,235,0,3,3,0
,,,55,347,1,251,0,2,2,0
,,,56,363,3,367,0,6,5,0
,,,57,384,8,236,0,0,0,0
,,,58,378,6,167,0,0,0,0
,,,59,366,0,393,0,2,2,0
