,,,,,,
,,2026-03-06,2026-02-27,2026-02-13,,2026-01-16
,,20:30,20:29,20:29,20:29,20:30
,,gYpnwe,gOe67a,g1EqJl,5zmEPe,v7ZaQY
,, 68.88, 62.45, 69.83, 49.55, 50.67
Live Stream Status,,ベースメイクあるある大集合！　明日からできるヒントをコンサルタントがご紹介！,ー今も未来も自分を楽しむー      コンサルタントならこんなときどうする？「大人の○○メイク」,本日発売！ジェル粉ファンデーションで仕上げもお直しも完成！,2026.1.30生命感ラスティングルージュから  艶やかに酔いしれる美粘膜カラー新色5色誕生!!,本日発売！新化粧水　ー水滴るような肌で2026年をアップデート！ー
active,Unique Viewers Count," 1,117"," 1,413"," 1,667"," 3,651"," 1,746"
,Visitors With Video Views," 1,088"," 1,379"," 1,636"," 3,489"," 1,668"
,Peak Concurrent Viewers Count,358,432,518,1004,447
,Average Watched Minutes, 36.47, 29.87, 34.68, 20.01, 18.91
,Engaged Rate, 90.99%, 91.30%, 94.13%, 89.37%, 88.73%
,Active Rate, 28.03%, 24.08%, 25.31%, 18.57%, 22.06%
,Product Ctr, 13.79%, 13.13%, 12.29%, 9.26%, 9.89%
,Out Stream Product Ctr, 13.79%, 13.13%, 12.29%, 9.26%, 9.89%
,Chat Rate, 11.95%, 6.38%, 10.76%, 6.22%, 9.05%
,Reaction Rate, 12.41%, 11.60%, 11.19%, 7.42%, 10.31%
,--------------------------------------------------------,,,,,
,Total Watched Minutes,40740.42,42201.37,57805.71,73067.39,33024.91
,Visitors With Engaged Views, 990," 1,259"," 1,540"," 3,118"," 1,480"
,Visitors With Active Views, 305, 332, 414, 648, 368
,---------------------------------------------------------,,,,,
,Visitors With Product Clicks, 150, 181, 201, 323, 165
,Visitors With Outstream Product Clicks, 150, 181, 201, 323, 165
,Visitors With Chats, 130, 88, 176, 217, 151
,Visitors With Reactions, 135, 160, 183, 259, 172
,----------------------------------------------------------,,,,,
,Total Product Clicks, 246, 357, 379, 579, 222
,Total Out Stream Product Clicks, 246, 357, 379, 579, 222
,Total Chats, 790, 441, 668, 822, 527
,Total Reactions," 2,373"," 15,411"," 3,142"," 4,519"," 1,834"
active_repeat,Unique Viewers Count, 569, 681, 672, 611,
,Visitors With Video Views, 558, 667, 662, 589,
,Peak Concurrent Viewers Count,0,0,0,0,
,Average Watched Minutes, 40.18, 34.03, 40.36, 27.30,
,Engaged Rate, 90.86%, 92.65%, 94.71%, 90.83%,
,Active Rate, 29.21%, 26.39%, 27.04%, 26.15%,
,Product Ctr, 15.41%, 14.69%, 12.84%, 13.07%,
,Out Stream Product Ctr, 15.41%, 14.69%, 12.84%, 13.07%,
,Chat Rate, 13.08%, 7.35%, 13.44%, 11.21%,
,Reaction Rate, 13.26%, 13.19%, 12.54%, 11.88%,
,--------------------------------------------------------,,,,,
,Total Watched Minutes,22864.46,23171.58,27121.93,16681.41,
,Visitors With Engaged Views, 507, 618, 627, 535,
,Visitors With Active Views, 163, 176, 179, 154,
,---------------------------------------------------------,,,,,
,Visitors With Product Clicks, 86, 98, 85, 77,
,Visitors With Outstream Product Clicks, 86, 98, 85, 77,
,Visitors With Chats, 73, 49, 89, 66,
,Visitors With Reactions, 74, 88, 83, 70,
,----------------------------------------------------------,,,,,
,Total Product Clicks, 146, 212, 171, 167,
,Total Out Stream Product Clicks, 146, 212, 171, 167,
,Total Chats, 492, 315, 421, 294,
,Total Reactions," 1,142"," 2,564"," 1,288"," 2,031",
replay,Unique Viewers Count," 2,099"," 2,811"," 3,540"," 7,140"," 5,001"
,Visitors With Video Views," 1,645"," 2,140"," 2,683"," 5,434"," 3,548"
,Peak Concurrent Viewers Count,0,0,0,0,0
,Average Watched Minutes, 13.12, 10.49, 11.19, 8.13, 6.55
,Engaged Rate, 74.77%, 72.29%, 75.70%, 75.38%, 68.32%
,Active Rate, 10.94%, 10.14%, 9.47%, 8.50%, 7.27%
,Product Ctr, 8.69%, 8.27%, 7.38%, 6.20%, 4.85%
,Out Stream Product Ctr, 8.69%, 8.27%, 7.38%, 6.20%, 4.85%
,Chat Rate, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
,Reaction Rate, 0.00%, 0.09%, 0.04%, 0.04%, 0.00%
,--------------------------------------------------------,,,,,
,Total Watched Minutes,27546.15,29497.06,39602.93,58060.93,32775.79
,Visitors With Engaged Views," 1,230"," 1,547"," 2,031"," 4,096"," 2,424"
,Visitors With Active Views, 180, 217, 254, 462, 258
,---------------------------------------------------------,,,,,
,Visitors With Product Clicks, 143, 177, 198, 337, 172
,Visitors With Outstream Product Clicks, 143, 177, 198, 337, 172
,Visitors With Chats, 0, 0, 0, 0, 0
,Visitors With Reactions, 0, 2, 1, 2, 0
,----------------------------------------------------------,,,,,
,Total Product Clicks, 273, 401, 303, 554, 257
,Total Out Stream Product Clicks, 273, 401, 303, 554, 257
,Total Chats, 0, 0, 0, 0, 0
,Total Reactions, 0, 4, 1, 2, 0
